,DHI,DNI,Date,GHI,Unnamed: 0,lat,log
0,33.521,133.715,01/2007,86.64,0,38.15,-121.35
1,37.996,89.848,02/2007,80.878,2,38.15,-121.35
2,52.231,189.67700000000002,03/2007,161.929,3,38.15,-121.35
3,58.342,203.41,04/2007,192.65099999999998,4,38.15,-121.35
4,60.167,256.54,05/2007,241.14,5,38.15,-121.35
5,58.335,265.095,06/2007,247.98,6,38.15,-121.35
6,55.925,267.35,07/2007,245.618,7,38.15,-121.35
7,49.028999999999996,259.075,08/2007,225.137,8,38.15,-121.35
8,45.198,202.33,09/2007,170.24900000000002,9,38.15,-121.35
9,43.825,158.53799999999998,10/2007,126.12,10,38.15,-121.35
10,34.203,129.204,11/2007,89.697,11,38.15,-121.35
11,29.241999999999997,96.32799999999999,12/2007,65.317,12,38.15,-121.35
0,30.206999999999997,58.141000000000005,01/2008,53.263000000000005,0,38.15,-121.35
1,38.145,127.194,02/2008,99.443,2,38.15,-121.35
2,54.808,183.84,03/2008,162.637,3,38.15,-121.35
3,54.24100000000001,233.428,04/2008,206.96200000000002,4,38.15,-121.35
4,62.746,242.158,05/2008,234.868,5,38.15,-121.35
5,60.208999999999996,260.48900000000003,06/2008,248.53099999999998,6,38.15,-121.35
6,58.077,261.853,07/2008,247.229,7,38.15,-121.35
7,48.343,260.362,08/2008,225.62900000000002,8,38.15,-121.35
8,41.83,222.873,09/2008,179.373,9,38.15,-121.35
9,39.878,171.188,10/2008,129.27,10,38.15,-121.35
10,33.097,104.09899999999999,11/2008,77.17399999999999,11,38.15,-121.35
11,30.193,62.173,12/2008,52.82,12,38.15,-121.35
0,30.074,107.28,01/2009,73.365,0,38.15,-121.35
1,40.858000000000004,84.255,02/2009,80.942,2,38.15,-121.35
2,50.836999999999996,175.21900000000002,03/2009,152.905,3,38.15,-121.35
3,54.026,220.604,04/2009,198.15099999999998,4,38.15,-121.35
4,61.303999999999995,237.28799999999998,05/2009,229.08700000000002,5,38.15,-121.35
5,68.286,236.96,06/2009,237.217,6,38.15,-121.35
6,54.347,275.513,07/2009,250.324,7,38.15,-121.35
7,51.48,251.114,08/2009,223.24,8,38.15,-121.35
8,46.113,205.696,09/2009,172.354,9,38.15,-121.35
9,41.636,164.94400000000002,10/2009,127.38799999999999,10,38.15,-121.35
10,32.589,131.207,11/2009,89.147,11,38.15,-121.35
11,31.049,66.564,12/2009,55.667,12,38.15,-121.35
0,30.081,42.221000000000004,01/2010,47.027,0,38.15,-121.35
1,39.562,76.10300000000001,02/2010,75.048,1,38.15,-121.35
2,54.683,159.486,03/2010,147.827,2,38.15,-121.35
3,61.198,162.719,04/2010,165.143,3,38.15,-121.35
4,69.889,206.981,05/2010,211.10299999999998,4,38.15,-121.35
5,58.049,259.085,06/2010,246.479,5,38.15,-121.35
6,51.36,286.494,07/2010,253.878,6,38.15,-121.35
7,54.09,253.352,08/2010,224.423,7,38.15,-121.35
8,48.299,207.80700000000002,09/2010,175.61599999999999,8,38.15,-121.35
9,41.927,157.894,10/2010,124.34700000000001,9,38.15,-121.35
10,30.995,126.595,11/2010,85.4,10,38.15,-121.35
11,28.693,48.607,12/2010,46.876999999999995,11,38.15,-121.35
12,31.525,54.231,01/2011,52.551,0,38.15,-121.35
13,36.336,122.073,02/2011,94.41799999999999,1,38.15,-121.35
14,54.131,105.035,03/2011,114.82,2,38.15,-121.35
15,60.565,197.74099999999999,04/2011,190.005,3,38.15,-121.35
16,67.91,210.452,05/2011,215.421,4,38.15,-121.35
17,61.818999999999996,226.69,06/2011,222.981,5,38.15,-121.35
18,52.103,281.175,07/2011,252.54,6,38.15,-121.35
19,48.943000000000005,263.78,08/2011,226.99900000000002,7,38.15,-121.35
20,46.92100000000001,211.72299999999998,09/2011,178.114,8,38.15,-121.35
