,variable,value,lat,log
0,apr,6.87,34.7289,-118.3268
1,apr,6.41,36.7586,-119.8102
2,apr,6.32,33.0224,-117.1069
3,apr,5.94,37.9077,-122.70200000000001
4,apr,7.16,34.448,-117.1922
5,apr,6.37,33.5708,-117.6346
6,apr,6.44,35.1628,-119.4303
7,apr,6.1,34.1982,-117.3583
8,apr,6.33,32.7991,-116.9733
9,apr,6.42,34.066,-118.3827
10,apr,6.23,33.9228,-117.1684
11,apr,6.18,37.9321,-121.7038
12,apr,6.11,37.9501,-122.5428
13,apr,6.37,33.9246,-118.2019
14,apr,6.06,38.0185,-121.0567
15,apr,6.2,37.5523,-120.7846
16,apr,6.4,33.7873,-117.8749
17,apr,6.46,35.775,-119.2337
18,apr,6.27,33.9423,-118.12899999999999
19,apr,6.11,37.8946,-122.2792
20,apr,6.24,33.7927,-117.7998
21,apr,6.04,38.3461,-120.9452
22,apr,6.3,32.9989,-117.0705
23,apr,7.03,34.4934,-117.7744
24,apr,5.88,38.3679,-122.5247
25,apr,6.37,33.8238,-118.2668
26,apr,7.14,34.9562,-117.2199
27,apr,5.89,34.117,-117.771
28,apr,6.15,33.9292,-118.009
29,apr,6.42,33.5712,-117.1536
30,apr,7.0,34.6061,-118.185
31,apr,5.78,37.6826,-122.4821
32,apr,6.35,34.457,-119.2531
33,apr,6.0,37.3485,-121.8863
34,apr,5.78,37.6992,-122.4504
35,apr,6.41,35.4749,-120.676
36,apr,5.74,41.1144,-121.33200000000001
37,apr,6.41,36.5668,-119.62200000000001
38,apr,5.88,38.4141,-122.5467
39,apr,6.36,32.7603,-117.0703
40,apr,6.11,37.9724,-122.5148
41,apr,6.49,32.6709,-117.0927
42,apr,6.24,34.2793,-118.6961
43,apr,6.2,34.0142,-118.1136
44,apr,6.35,33.2409,-117.2985
45,apr,6.43,34.2929,-118.8713
46,apr,6.2,33.8127,-117.8162
47,apr,5.97,38.7911,-122.6107
48,apr,6.47,33.6735,-118.0024
49,apr,6.01,37.3802,-122.0879
50,apr,6.28,36.7285,-119.5357
51,apr,6.29,33.958,-117.2483
52,apr,6.44,35.8016,-119.117
53,apr,5.76,40.6414,-122.3421
54,apr,6.46,33.769,-118.1923
55,apr,6.06,37.2788,-121.9545
56,apr,6.37,33.9729,-118.2488
57,apr,6.04,38.3472,-122.6954
58,apr,6.13,37.4449,-122.2625
59,apr,6.03,38.4959,-122.9064
60,apr,5.96,36.9707,-121.9909
61,apr,6.15,37.8169,-121.2854
62,apr,6.26,34.2563,-117.1913
63,apr,6.2,33.8318,-117.8474
64,apr,5.93,38.2459,-122.9064
65,apr,6.32,33.1449,-117.1713
66,apr,6.22,32.8388,-117.2616
67,apr,6.4,34.0093,-118.4729
68,apr,6.3,36.9915,-119.9873
69,apr,5.99,37.2136,-121.8567
70,apr,6.06,38.1456,-120.8573
71,apr,6.39,33.6929,-117.2504
72,apr,6.02,39.4135,-121.7116
73,apr,6.01,36.8622,-121.3801
74,apr,6.29,36.7532,-119.697
75,apr,6.16,37.7823,-121.2358
76,apr,6.18,34.0018,-117.5276
77,apr,6.39,35.3248,-118.9633
78,apr,6.15,37.8128,-121.2142
79,apr,6.29,37.0484,-120.8698
80,apr,6.22,35.1327,-118.5078
81,apr,6.03,37.5516,-122.3277
82,apr,5.98,38.3372,-122.3003
83,apr,7.09,34.6919,-117.9776
84,apr,6.27,36.8401,-119.6611
85,apr,5.95,34.1341,-118.0266
86,apr,5.93,38.4382,-122.6742
87,apr,6.32,34.1395,-118.7607
88,apr,6.24,32.9975,-117.2609
89,apr,6.57,34.1725,-116.8759
90,apr,6.22,33.0165,-117.2026
91,apr,6.02,39.4965,-121.7471
92,apr,6.29,32.6381,-116.9519
