Manufacturer,Failure_Rate
Apollo Solar Energy,0.01
Jiangsu Sainty Machinery,0.01
Win Win Precision Technology,0.01
Yes! Solar,0.01
Unicor Federal Prison Industries,0.01
Siliken California,0.01
Colored Solar,0.01
Apex Solar,0.01
Topsun,0.005
First Solar,0.008
MAGE Solar,0.01
Zhejiang Jiutai New Energy,0.01
Green Energy Technology,0.01
Solon Fuer Solartechnik,0.01
BIPV,0.01
SunWize Technologies,0.01
Solarland USA,0.01
Connect Renewable Energy,0.01
Tianwei New Energy (Chengdu) PV Module,0.01
Lightway Green New Energy,0.01
S-Energy,0.01
aleo solar,0.01
Auxin Solar,0.01
Shanghai JA Solar Technology,0.01
Solartech Power,0.01
GCL-Poly (Suzhou) Energy,0.01
CentroSolar Sonnenstromfabrik,0.01
Solarmax,0.01
Fluitecnik,0.01
Hyundai Heavy Industries,0.003
Zebra Energy,0.01
Siliken Modules,0.01
Jetion Solar (China),0.01
Kaneka,0.01
Solar Integrated Technologies,0.01
Phono Solar Technology,0.01
Worldwide Energy & Mfg USA,0.01
Sopray Energy,0.01
Integrated Power,0.01
Sanyo Electric of Panasonic Group,0.003
Shanghai Chaori Solar Energy Science & Technology,0.01
Kyocera Solar,0.01
Wenzhou Jingri Photovoltaic Technology,0.01
EPV SOLAR,0.01
Global Solar Energy,0.01
E&H,0.01
American Solar Wholesale,0.01
Ecosolargy,0.01
Sharp,0.005
SolarWorld,0.003
ASE Americas,0.01
Schott Solar,0.005
MEMC Singapore,0.008
Silray,0.01
Solar Power (SPI),0.008
Fire Energy,0.01
Siliken Manufacturing USA,0.01
MX Solar USA,0.01
LUMA Resources,0.01
Axitec,0.01
Siliken Canada,0.01
DelSolar,0.005
Brightwatts,0.01
Bosch Solar Energy,0.005
Dmsolar,0.01
GESOLAR,0.01
Helios USA,0.005
Isofoton,0.005
Sunlan Solar,0.01
Centrosolar America,0.01
Mage Solar USA,0.01
Jiangsu Prefersolar Photovoltaic,0.01
Jiangyin Hareon Power,0.01
Ritek,0.01
Advance: Solar  Hydro  Wind Power,0.01
United Solar Systems,0.01
Solyndra,0.01
Kyung Won,0.01
ET Solar Industry,0.005
Siemens Industry,0.005
SET-Solar,0.01
Ningbo Solar Electric Power,0.01
Silevo,0.01
Gloria Solar,0.01
Changzhou Nesl Solartech,0.01
Innotech Solar,0.008
WINAICO,0.01
REC Solar,0.003
Zhongli Talesun Solar,0.01
SunPower,0.001
Suniva,0.003
Schuco International,0.01
Dow Chemical,0.01
Solar Semiconductor,0.01
Avancis,0.01
Day4 Energy,0.01
Perlight Solar,0.01
Jiangsu JiaSheng Photovoltaic Technology,0.01
Zhejiang Sunflower Light Energy Science & Tech.,0.01
Watton Solar,0.01
GE Energy,0.005
REC ScanModule,0.005
Solartech Energy,0.01
Jiangsu Shunda PV-Tech,0.01
Conergy Solarmodule,0.01
Alps Technology,0.01
Sovello,0.01
Canadian Solar,0.003
Sun Perfect Solar,0.008
LG Electronics Solar Cell Division,0.001
LDK Solar,0.003
SMX Capital,0.005
Talesun Solar,0.01
Evergreen Solar,0.008
Samsung SDI,0.008
Shell Solar,0.003
Honda Soltec,0.005
Upsolar,0.005
Westinghouse Solar,0.005
Waaree Energies,0.01
Shanghai Solar Energy,0.01
CertainTeed,0.01
Suntech Power,0.003
Jiangsu Green Power PV,0.01
China Sunergy (Nanjing),0.01
Sunpreme,0.01
Renogy,0.01
Chint Solar Zhejiang,0.01
Powercom,0.01
CFM Equipment Distributors,0.01
Next Solar Systems,0.01
NexPower Technology,0.005
BP Solar,0.003
Scheuten Solar USA,0.01
Symphony Energy,0.01
Moser Baer Photovoltaic,0.005
Ligitek Photovoltaic,0.005
TenKsolar,0.01
US Topco Energy,0.008
Hanwha SolarOne Hong Kong,0.003
China Sunergy,0.01
Greenbrilliance Energy,0.01
Jingao Solar,0.01
Renesola Jiangsu,0.003
Energy Photovoltaics,0.01
Panasonic Eco Solutions Canada,0.003
Eoplly New Energy Technology,0.01
CEEG (Shanghai) Solar Science and Technology,0.01
Conergy,0.01
TSMC Solar,0.005
MiaSole,0.005
Matrix Solar/Photowatt,0.01
Hanwha SolarOne (Qidong),0.003
Sun Earth Solar Power,0.008
Guangdong Golden Glass Technologies,0.01
Atlantis Energy,0.01
Ningbo Ulica Solar Science & Technology,0.01
Motech Americas,0.003
Applied Solar,0.005
Ningbo Maxsolar,0.01
SUNGEN International,0.01
Yingli Energy (China),0.003
Schuco USA,0.01
Clean Source & Energy,0.01
American Choice Solar,0.01
AU Optronics,0.008
Siliken,0.01
Kenmec Mechanical Engineering,0.01
Grape Solar,0.01
Open Energy,0.01
Silfab,0.01
Motech Industries,0.003
SOLON,0.005
Mitsubishi Electric,0.003
Andalay Solar,0.01
Trina Solar,0.003
Sun Energy Engineering,0.01
Zhangjiagang City SEG PV,0.01
Sun Edison,0.003
Nu-Cell Technologies,0.01
Webel SL Energy Systems,0.01
BYD (Huizhou) Battery,0.003
CNPV Dongying Solar Power,0.01
United Solar Ovonic,0.005
MC Solar,0.005
Solarfun Power,0.005
1Soltech,0.01
Jiangsu Aide Solar Energy Technology,0.01
Jinko Solar,0.003
Green Power,0.008
Lumos,0.008
Solar Frontier,0.003
UE Solar  ,0.005
