Application Number,Nameplate Rating
SD-CSI-12073,3.22
SD-CSI-14842,5.886
SD-CSI-01332,12.768
SD-CSI-06441,11.04
SD-CSI-03121,2.625
SD-CSI-10127,5.52
SD-CSI-01706,7.38
SD-CSI-07388,9.2
SD-CSI-16889,5.46
SD-CSI-12759,9.156
SD-CSI-02337,8.1
SD-CSI-13967,6.867
SD-CSI-01584,10.368
SD-CSI-13617,7.05
SD-CSI-01611,6.825
SD-CSI-04923,6.44
SD-CSI-02017,4.5
SD-CSI-07412,4.8
SD-CSI-04392,7.095
SD-CSI-21552,5.4
SD-CSI-19189,8.64
SD-CSI-19478,17.28
SD-CSI-19557,11.025
SD-CSI-18958,2.5
SD-CSI-19701,5.25
SD-CSI-20229,6.24
SD-CSI-19873,12.19
SD-CSI-20727,5.4
SD-CSI-18397,7.92
SD-CSI-05748,6.44
SD-CSI-20945,9.6
SD-CSI-21125,9
SD-CSI-21356,9.9
SD-CSI-21260,7.02
SD-CSI-18163,7.5
SD-CSI-18116,7
SD-CSI-17765,7.42
SD-CSI-17805,6.615
SD-CSI-12543,9.6
SD-CSI-16824,7.35
SD-CSI-16813,9.156
SD-CSI-16664,6.5
SD-CSI-17656,9.66
SD-CSI-17094,8.16
SD-CSI-16076,8.16
SD-CSI-17520,9
SD-CSI-16001,10.56
SD-CSI-14302,15.696
SD-CSI-13549,6.867
SD-CSI-11572,6.468
SD-CSI-16456,8.175
SD-CSI-14492,6.867
SD-CSI-13768,9.156
SD-CSI-13804,8.97
SD-CSI-13838,10.29
SD-CSI-13915,6.54
SD-CSI-15148,9.156
SD-CSI-15562,9.156
SD-CSI-15188,9.156
SD-CSI-15230,9.156
SD-CSI-15237,5.76
SD-CSI-10480,2.88
SD-CSI-15335,7.755
SD-CSI-09290,12.22
SD-CSI-03719,6
SD-CSI-08988,3.055
SD-CSI-08191,8.775
SD-CSI-13625,9.156
SD-CSI-00374,5.94
SD-CSI-04406,8.2
SD-CSI-01522,11.88
SD-CSI-14369,15.042
SD-CSI-10522,4.8
SD-CSI-00196,4.862
SD-CSI-00659,2.47
SD-CSI-05541,12.65
SD-CSI-00797,7.875
SD-CSI-12615,9.156
SD-CSI-06231,3.675
SD-CSI-18312,8.84
SD-CSI-15261,6.867
SD-CSI-10137,5.17
SD-CSI-03457,3.024
SD-CSI-16119,9.6
SD-CSI-21206,7.92
SD-CSI-11875,4.32
SD-CSI-13112,4.578
SD-CSI-13498,10.78
SD-CSI-20068,5.75
SD-CSI-11182,3.055
SD-CSI-07122,8.64
SD-CSI-18577,11.44
SD-CSI-15852,3.9
SD-CSI-05026,5.64
SD-CSI-04452,3.024
SD-CSI-07468,4.32
SD-CSI-00393,13.464
SD-CSI-18043,10.56
SD-CSI-20513,13
SD-CSI-13394,7.848
SD-CSI-08237,7.59
SD-CSI-18587,7.5
SD-CSI-14412,6.37
SD-CSI-14405,7.2
SD-CSI-12539,2.3
SD-CSI-11017,5.52
SD-CSI-07483,8.8
SD-CSI-18056,5.232
SD-CSI-09552,5.4
SD-CSI-06826,4.84
SD-CSI-06256,10.92
SD-CSI-06434,8.75
SD-CSI-15466,8.085
SD-CSI-20863,9.36
SD-CSI-05571,6.58
SD-CSI-02356,12.096
SD-CSI-10170,8.46
SD-CSI-08253,7.755
SD-CSI-05984,9.68
SD-CSI-14988,7.92
SD-CSI-13992,5.886
SD-CSI-08705,4.05
SD-CSI-20532,7.14
SD-CSI-04163,15.12
SD-CSI-18063,6.54
SD-CSI-08724,2.7
SD-CSI-00096,8.6
SD-CSI-09952,9.165
SD-CSI-16195,11.118
SD-CSI-12784,7.848
SD-CSI-06083,5.98
SD-CSI-12325,9.81
SD-CSI-14452,6.75
SD-CSI-12783,11.445
SD-CSI-14844,6.867
SD-CSI-11359,10.12
SD-CSI-07175,6.3
SD-CSI-21380,8.84
SD-CSI-09293,6.11
SD-CSI-06853,7.35
SD-CSI-21060,6.5
SD-CSI-01581,7.128
SD-CSI-10564,7.92
SD-CSI-06276,3.36
SD-CSI-10370,11.96
SD-CSI-07878,5.64
SD-CSI-04178,1.728
SD-CSI-08402,2.88
SD-CSI-03912,8.28
SD-CSI-07523,12.005
SD-CSI-11606,5.4
SD-CSI-09062,3.68
SD-CSI-11041,16.2
SD-CSI-19898,4.68
SD-CSI-08287,3.08
SD-CSI-12794,6.11
SD-CSI-08283,3.29
SD-CSI-12979,6.867
SD-CSI-08284,3.29
SD-CSI-14500,7.92
SD-CSI-17383,10.08
SD-CSI-15195,7.52
SD-CSI-13514,6.867
SD-CSI-13155,7.59
SD-CSI-06891,9.87
SD-CSI-07548,9.6
SD-CSI-14062,3.27
SD-CSI-13553,6.867
SD-CSI-18126,5.85
SD-CSI-08759,5.59
SD-CSI-02013,7.92
SD-CSI-17375,10.05
SD-CSI-20370,5.415
SD-CSI-02556,11.48
SD-CSI-13668,2.616
SD-CSI-10235,12.72
SD-CSI-10225,7.02
SD-CSI-03578,8
SD-CSI-04542,14.76
SD-CSI-14739,9.156
SD-CSI-18136,8.25
SD-CSI-12826,13.08
SD-CSI-17395,6.86
SD-CSI-06293,6.48
SD-CSI-21066,10.14
SD-CSI-08324,4.32
SD-CSI-12653,20.64
SD-CSI-11397,6.96
SD-CSI-07575,5.4
SD-CSI-10597,3.84
SD-CSI-06296,3.5
SD-CSI-19042,5.5
SD-CSI-05328,8.64
SD-CSI-08043,5.64
SD-CSI-07753,12.42
SD-CSI-06147,6.16
SD-CSI-03593,4.73
SD-CSI-12223,6.72
SD-CSI-03370,6.3
SD-CSI-05639,2.86
SD-CSI-07968,5.2
SD-CSI-14266,9.156
SD-CSI-10257,6.72
SD-CSI-16960,5.28
SD-CSI-12161,6.58
SD-CSI-15238,3.29
SD-CSI-13355,11.7
SD-CSI-03986,10.81
SD-CSI-04220,7.56
SD-CSI-09622,13.16
SD-CSI-10278,3.84
SD-CSI-10868,7.2
SD-CSI-05153,12.48
SD-CSI-03996,16.92
SD-CSI-01298,4.59
SD-CSI-07975,3.01
SD-CSI-06941,6.45
SD-CSI-16306,15.696
SD-CSI-04122,5.29
SD-CSI-17774,5.75
SD-CSI-16308,4.42
SD-CSI-17237,15
SD-CSI-05164,8.64
SD-CSI-12413,15.696
SD-CSI-03998,7.59
SD-CSI-05745,4.51
SD-CSI-20667,4.5
SD-CSI-12861,12.6
SD-CSI-10302,5.17
SD-CSI-10299,5.52
SD-CSI-10616,12.96
SD-CSI-18761,10.464
SD-CSI-04037,5.94
SD-CSI-04944,7.68
SD-CSI-12268,7.755
SD-CSI-04596,8.19
SD-CSI-19788,3
SD-CSI-05672,4.7
SD-CSI-09365,2.688
SD-CSI-13889,3.27
SD-CSI-10310,5.17
SD-CSI-07273,4.68
SD-CSI-06128,1.568
SD-CSI-16178,5.232
SD-CSI-02825,8.36
SD-CSI-08016,9.675
SD-CSI-11304,18
SD-CSI-08019,2.82
SD-CSI-05836,7.05
SD-CSI-08018,5.76
SD-CSI-12152,11.088
SD-CSI-10484,2.82
SD-CSI-10886,8.46
SD-CSI-20019,6.86
SD-CSI-02413,8.424
SD-CSI-17044,4.41
SD-CSI-11101,10.08
SD-CSI-14124,7.848
SD-CSI-10847,7
SD-CSI-18232,6.54
