Application Number,CSI Project Tilt
SD-CSI-03095,15
SD-CSI-03355,17
SD-CSI-00662,30
SD-CSI-12073,17
SD-CSI-21944,14
SD-CSI-14842,24
SD-CSI-01332,23
SD-CSI-06441,11
SD-CSI-03121,21
SD-CSI-10127,18
SD-CSI-04005,17
SD-CSI-01706,23
SD-CSI-16294,20
SD-CSI-07388,20
SD-CSI-16889,14
SD-CSI-12759,16
SD-CSI-21679,15
SD-CSI-21913,14
SD-CSI-13967,19
SD-CSI-21677,10
SD-CSI-10094,16
SD-CSI-21786,15
SD-CSI-01584,13
SD-CSI-21875,30
SD-CSI-13617,25
SD-CSI-21911,18
SD-CSI-01611,12
SD-CSI-22130,18
SD-CSI-04923,18
SD-CSI-22138,30
SD-CSI-02017,27
SD-CSI-22473,30
SD-CSI-07412,17
SD-CSI-22060,30
SD-CSI-04392,19
SD-CSI-21724,20
SD-CSI-21552,18
SD-CSI-22075,18
SD-CSI-19189,18
SD-CSI-21812,20
SD-CSI-19478,14
SD-CSI-21710,30
SD-CSI-19557,18
SD-CSI-18958,18
SD-CSI-19701,30
SD-CSI-20229,15
SD-CSI-20727,15
SD-CSI-18397,20
SD-CSI-05748,22
SD-CSI-20945,30
SD-CSI-21125,18
SD-CSI-21356,30
SD-CSI-21260,23
SD-CSI-18163,20
SD-CSI-18116,30
SD-CSI-17765,16
SD-CSI-17805,18
SD-CSI-12543,17
SD-CSI-16824,17
SD-CSI-16813,14
SD-CSI-16664,18
SD-CSI-17656,23
SD-CSI-17094,18
SD-CSI-16076,18
SD-CSI-17520,18
SD-CSI-16001,17
SD-CSI-14302,17
SD-CSI-13549,18
SD-CSI-13682,20
SD-CSI-11572,19
SD-CSI-16456,23
SD-CSI-14492,11
SD-CSI-13804,17
SD-CSI-13838,13
SD-CSI-15148,23
SD-CSI-15562,19
SD-CSI-15230,14
SD-CSI-15237,15
SD-CSI-10480,22
SD-CSI-15335,18
SD-CSI-09290,18
SD-CSI-03719,15
SD-CSI-08646,12
SD-CSI-08988,19
SD-CSI-08191,25
SD-CSI-13625,13
SD-CSI-00374,30
SD-CSI-04406,18
SD-CSI-10522,23
SD-CSI-00196,30
SD-CSI-00659,18
SD-CSI-05541,20
SD-CSI-00797,18
SD-CSI-12615,45
SD-CSI-06231,19
SD-CSI-18312,18
SD-CSI-11002,10
SD-CSI-15261,17
SD-CSI-10137,14
SD-CSI-03457,15
SD-CSI-21206,17
SD-CSI-11875,40
SD-CSI-13112,17
SD-CSI-13498,18
SD-CSI-20068,18
SD-CSI-11182,19
SD-CSI-07122,14
SD-CSI-18577,30
SD-CSI-15852,20
SD-CSI-05026,15
SD-CSI-04452,18
SD-CSI-07468,5
SD-CSI-00393,19
SD-CSI-00395,30
SD-CSI-18043,15
SD-CSI-20513,20
SD-CSI-13394,19
SD-CSI-08237,19
SD-CSI-18587,11
SD-CSI-14412,20
SD-CSI-14405,23
SD-CSI-12539,16
SD-CSI-11017,17
SD-CSI-18056,23
SD-CSI-09552,30
SD-CSI-06826,26
SD-CSI-06256,19
SD-CSI-06434,18
