actual,closest
"(34.728900000000003, -118.32680000000001)","(34.75, -118.35)"
"(33.022399999999998, -117.1069)","(33.05, -117.15)"
"(37.907699999999998, -122.70200000000001)","(37.95, -122.75)"
"(34.448, -117.1922)","(34.45, -117.15)"
"(33.570799999999998, -117.63460000000001)","(33.55, -117.65)"
"(32.799100000000003, -116.97329999999999)","(32.75, -116.95)"
"(34.077300000000001, -117.62220000000001)","(34.05, -117.65)"
"(37.950099999999999, -122.5428)","(37.95, -122.55)"
"(33.942300000000003, -118.12899999999999)","(33.95, -118.15)"
"(32.998899999999999, -117.0705)","(32.95, -117.05)"
"(36.304699999999997, -119.1138)","(36.35, -119.15)"
"(38.367899999999999, -122.5247)","(38.35, -122.55)"
"(34.116999999999997, -117.771)","(34.15, -117.75)"
"(33.571199999999997, -117.1536)","(33.55, -117.15)"
"(34.606099999999998, -118.185)","(34.65, -118.15)"
"(37.348500000000001, -121.88630000000001)","(37.35, -121.85)"
"(36.566800000000001, -119.62200000000001)","(36.55, -119.65)"
"(37.951700000000002, -122.0732)","(37.95, -122.05)"
"(34.279299999999999, -118.6961)","(34.25, -118.65)"
"(34.014200000000002, -118.11360000000001)","(34.05, -118.15)"
"(33.8127, -117.81619999999999)","(33.85, -117.85)"
"(33.673499999999997, -118.00239999999999)","(33.65, -118.05)"
"(37.380200000000002, -122.0879)","(37.35, -122.05)"
"(40.641399999999997, -122.3421)","(40.65, -122.35)"
"(37.278799999999997, -121.9545)","(37.25, -121.95)"
"(37.731299999999997, -120.94370000000001)","(37.75, -120.95)"
"(34.268700000000003, -119.22490000000001)","(34.25, -119.25)"
"(34.256300000000003, -117.1913)","(34.25, -117.15)"
"(33.831800000000001, -117.84739999999999)","(33.85, -117.85)"
"(33.1449, -117.1713)","(33.15, -117.15)"
"(32.838799999999999, -117.2616)","(32.85, -117.25)"
"(38.145600000000002, -120.8573)","(38.15, -120.85)"
"(36.7532, -119.697)","(36.75, -119.65)"
"(37.782299999999999, -121.2358)","(37.75, -121.25)"
"(34.001800000000003, -117.52760000000001)","(34.05, -117.55)"
"(37.812800000000003, -121.21420000000001)","(37.85, -121.25)"
"(38.337200000000003, -122.30029999999999)","(38.35, -122.35)"
"(34.134099999999997, -118.0266)","(34.15, -118.05)"
"(34.139499999999998, -118.7607)","(34.15, -118.75)"
"(32.997500000000002, -117.26090000000001)","(32.95, -117.25)"
"(34.172499999999999, -116.8759)","(34.15, -116.85)"
"(33.851999999999997, -118.1468)","(33.85, -118.15)"
"(32.638100000000001, -116.95189999999999)","(32.65, -116.95)"
