,latitude,longtitude,clo_lat,clo_log
0,34.7289,-118.3268,34.75,-118.35
1,33.0224,-117.1069,33.05,-117.15
2,37.9077,-122.702,37.95,-122.75
3,34.448,-117.1922,34.45,-117.15
4,33.5708,-117.6346,33.55,-117.65
5,32.7991,-116.9733,32.75,-116.95
6,34.0773,-117.6222,34.05,-117.65
7,37.9501,-122.5428,37.95,-122.55
8,33.9423,-118.129,33.95,-118.15
9,32.9989,-117.0705,32.95,-117.05
10,36.3047,-119.1138,36.35,-119.15
11,38.3679,-122.5247,38.35,-122.55
12,34.117,-117.771,34.15,-117.75
13,33.5712,-117.1536,33.55,-117.15
14,34.6061,-118.185,34.65,-118.15
15,37.3485,-121.8863,37.35,-121.85
16,36.5668,-119.622,36.55,-119.65
17,37.9517,-122.0732,37.95,-122.05
18,34.2793,-118.6961,34.25,-118.65
19,34.0142,-118.1136,34.05,-118.15
20,33.8127,-117.8162,33.85,-117.85
21,33.6735,-118.0024,33.65,-118.05
22,37.3802,-122.0879,37.35,-122.05
23,40.6414,-122.3421,40.65,-122.35
24,37.2788,-121.9545,37.25,-121.95
25,37.7313,-120.9437,37.75,-120.95
26,34.2687,-119.2249,34.25,-119.25
27,34.2563,-117.1913,34.25,-117.15
28,33.8318,-117.8474,33.85,-117.85
29,33.1449,-117.1713,33.15,-117.15
30,32.8388,-117.2616,32.85,-117.25
31,38.1456,-120.8573,38.15,-120.85
32,36.7532,-119.697,36.75,-119.65
33,37.7823,-121.2358,37.75,-121.25
34,34.0018,-117.5276,34.05,-117.55
35,37.8128,-121.2142,37.85,-121.25
36,38.3372,-122.3003,38.35,-122.35
37,34.1341,-118.0266,34.15,-118.05
38,34.1395,-118.7607,34.15,-118.75
39,32.9975,-117.2609,32.95,-117.25
40,34.1725,-116.8759,34.15,-116.85
41,33.852,-118.1468,33.85,-118.15
42,32.6381,-116.9519,32.65,-116.95
43,37.7978,-121.0018,37.75,-121.05
44,33.2617,-117.0103,33.25,-117.05
45,39.5586,-121.5892,39.55,-121.55
46,33.6028,-117.713,33.65,-117.75
47,36.8,-120.58,36.75,-120.55
48,39.0899,-121.5505,39.05,-121.55
49,37.6337,-122.061,37.65,-122.05
50,34.4876,-117.8988,34.45,-117.85
51,33.8832,-117.7386,33.85,-117.75
52,33.9988,-117.447,33.95,-117.45
53,37.7487,-122.4155,37.75,-122.45
54,33.6402,-117.6911,33.65,-117.65
55,37.8946,-122.2792,37.85,-122.25
56,34.0889,-117.4521,34.05,-117.45
57,34.6987,-118.1501,34.65,-118.15
58,36.351,-119.3366,36.35,-119.35
59,33.122,-117.156,33.15,-117.15
60,37.8394,-122.1243,37.85,-122.15
61,34.0704,-117.6994,34.05,-117.65
62,37.9541,-122.0251,37.95,-122.05
63,33.8574,-118.2563,33.85,-118.25
64,34.4437,-119.9421,34.45,-119.95
65,38.6412,-120.9711,38.65,-120.95
66,33.6965,-117.3247,33.65,-117.35
67,33.7593,-118.0824,33.75,-118.05
68,37.7723,-122.4109,37.75,-122.45
69,32.8564,-117.2114,32.85,-117.25
70,37.5922,-122.0458,37.55,-122.05
71,32.7623,-117.1225,32.75,-117.15
72,38.4805,-122.7498,38.45,-122.75
73,33.6113,-117.6668,33.65,-117.65
74,33.4795,-117.2093,33.45,-117.25
75,36.9806,-122.046,36.95,-122.05
76,39.7935,-121.8795,39.75,-121.85
77,33.6348,-117.8745,33.65,-117.85
78,38.2912,-122.2867,38.25,-122.25
79,33.9764,-118.4546,33.95,-118.45
80,37.6356,-122.1042,37.65,-122.15
81,37.3695,-121.8208,37.35,-121.85
82,34.0641,-117.3943,34.05,-117.35
83,36.3271,-119.6451,36.35,-119.65
84,33.7149,-117.7633,33.75,-117.75
85,37.9242,-122.516,37.95,-122.55
86,32.6827,-117.1744,32.65,-117.15
87,33.7629,-116.4225,33.75,-116.45
88,34.1272,-117.2007,34.15,-117.25
89,35.5992,-117.6806,35.55,-117.65
90,38.6843,-121.0688,38.65,-121.05
91,38.4272,-121.8135,38.45,-121.85
92,33.6772,-117.9086,33.65,-117.95
93,32.5744,-117.0563,32.55,-117.05
94,40.8762,-121.8898,40.85,-121.85
95,32.7887,-116.9049,32.75,-116.95
96,32.7665,-117.2008,32.75,-117.25
97,36.6586,-119.741,36.65,-119.75
98,33.1954,-117.2823,33.15,-117.25
99,37.2951,-121.8965,37.25,-121.85
100,33.794,-118.0722,33.75,-118.05
101,37.8981,-122.5413,37.85,-122.55
102,32.8228,-117.0984,32.85,-117.05
103,34.1014,-118.5993,34.15,-118.55
104,37.5749,-122.3633,37.55,-122.35
105,33.8993,-118.319,33.85,-118.35
106,33.5815,-117.7247,33.55,-117.75
107,32.8239,-117.1997,32.85,-117.15
108,32.7603,-117.0703,32.75,-117.05
109,32.8038,-117.1359,32.85,-117.15
110,33.0358,-116.8513,33.05,-116.85
111,38.0389,-121.2421,38.05,-121.25
112,33.7987,-116.5189,33.75,-116.55
113,38.4576,-122.6932,38.45,-122.65
114,37.8798,-122.0714,37.85,-122.05
115,37.2136,-121.8567,37.25,-121.85
116,34.1386,-117.6636,34.15,-117.65
117,32.961,-117.1251,32.95,-117.15
118,33.8808,-117.5407,33.85,-117.55
119,36.8401,-119.6611,36.85,-119.65
120,38.0049,-121.4002,38.05,-121.45
121,38.9029,-121.298,38.95,-121.25
122,34.265,-118.7718,34.25,-118.75
123,37.9921,-121.7133,37.95,-121.75
124,37.9235,-121.9117,37.95,-121.95
125,38.5979,-122.6095,38.55,-122.65
126,38.2696,-122.037,38.25,-122.05
127,37.2693,-121.8494,37.25,-121.85
128,32.7618,-117.0127,32.75,-117.05
129,33.5277,-117.1206,33.55,-117.15
130,34.107,-117.2975,34.15,-117.25
131,33.889,-118.4053,33.85,-118.45
132,34.4895,-117.3532,34.45,-117.35
133,34.1251,-117.4582,34.15,-117.45
134,38.8512,-121.7335,38.85,-121.75
135,32.7736,-117.1379,32.75,-117.15
136,33.9021,-118.0097,33.95,-118.05
137,33.7514,-117.9939,33.75,-117.95
138,32.918,-117.0844,32.95,-117.05
139,38.818,-121.2631,38.85,-121.25
140,36.691,-119.8332,36.65,-119.85
141,33.9453,-116.9759,33.95,-116.95
142,34.1017,-117.6578,34.15,-117.65
143,32.7182,-116.8261,32.75,-116.85
144,35.2005,-119.174,35.25,-119.15
145,34.4022,-119.5231,34.45,-119.55
146,34.0576,-117.6656,34.05,-117.65
147,33.5353,-117.7719,33.55,-117.75
148,34.1278,-117.5246,34.15,-117.55
149,32.715,-117.1254,32.75,-117.15
150,33.0879,-117.1156,33.05,-117.15
151,38.6141,-122.8763,38.65,-122.85
152,33.841,-118.0097,33.85,-118.05
153,37.4992,-122.2665,37.45,-122.25
154,36.5182,-121.4256,36.55,-121.45
155,34.0652,-117.7793,34.05,-117.75
156,34.047,-117.481,34.05,-117.45
157,37.2444,-121.8325,37.25,-121.85
158,33.4271,-117.614,33.45,-117.65
159,32.9468,-117.2192,32.95,-117.25
160,32.7335,-117.0337,32.75,-117.05
161,33.5686,-117.2526,33.55,-117.25
162,38.0179,-121.905,38.05,-121.95
163,38.6972,-121.8094,38.65,-121.85
164,37.9265,-122.3408,37.95,-122.35
165,37.763,-122.163,37.75,-122.15
166,33.7962,-117.0005,33.75,-117.05
167,36.5061,-119.5459,36.55,-119.55
168,37.9816,-122.5688,37.95,-122.55
169,38.0355,-121.3438,38.05,-121.35
170,37.6589,-121.8715,37.65,-121.85
171,37.7584,-122.4351,37.75,-122.45
172,34.1051,-117.2908,34.15,-117.25
173,38.6813,-121.7419,38.65,-121.75
174,32.805,-117.1687,32.85,-117.15
175,33.5319,-117.7025,33.55,-117.75
176,34.0347,-117.1731,34.05,-117.15
177,34.0633,-117.1689,34.05,-117.15
178,33.7396,-117.7862,33.75,-117.75
179,33.7242,-117.9062,33.75,-117.95
180,34.1618,-116.4125,34.15,-116.45
181,32.8468,-116.9898,32.85,-116.95
182,33.989,-118.0891,33.95,-118.05
183,39.1549,-123.2009,39.15,-123.25
184,37.16,-121.9881,37.15,-121.95
185,32.7196,-117.1625,32.75,-117.15
186,37.4365,-121.8944,37.45,-121.85
187,33.8999,-118.1623,33.85,-118.15
188,36.6659,-121.655,36.65,-121.65
189,32.6387,-117.0669,32.65,-117.05
190,38.8175,-121.1723,38.85,-121.15
191,39.746,-121.8426,39.75,-121.85
192,37.0169,-121.5658,37.05,-121.55
193,33.9846,-117.0377,33.95,-117.05
194,34.3675,-119.0732,34.35,-119.05
195,36.0551,-119.016,36.05,-119.05
196,33.889,-117.2205,33.85,-117.25
197,38.8767,-121.1421,38.85,-121.15
198,36.311,-119.3264,36.35,-119.35
199,35.6406,-120.7042,35.65,-120.75
200,36.9148,-120.1582,36.95,-120.15
201,33.7157,-116.385,33.75,-116.35
202,34.1908,-118.837,34.15,-118.85
203,32.8201,-116.9123,32.85,-116.95
204,34.8745,-120.4281,34.85,-120.45
205,35.3907,-119.1858,35.35,-119.15
206,33.1069,-117.0708,33.15,-117.05
207,33.879,-117.8932,33.85,-117.85
208,38.1052,-122.2457,38.15,-122.25
209,39.7504,-121.6103,39.75,-121.65
210,38.1628,-121.1486,38.15,-121.15
211,35.1977,-119.057,35.15,-119.05
212,37.8094,-122.2717,37.85,-122.25
213,34.0361,-117.6086,34.05,-117.65
214,35.3442,-119.0222,35.35,-119.05
215,37.7242,-122.4796,37.75,-122.45
216,33.8078,-116.4647,33.85,-116.45
217,38.3805,-121.9919,38.35,-121.95
218,33.9235,-117.8956,33.95,-117.85
219,33.8833,-117.8545,33.85,-117.85
220,33.9443,-118.1949,33.95,-118.15
221,37.8041,-121.912,37.85,-121.95
222,34.5386,-117.1773,34.55,-117.15
223,37.7284,-121.424,37.75,-121.45
224,32.9618,-117.2597,32.95,-117.25
225,37.3179,-122.0478,37.35,-122.05
226,33.647,-117.9151,33.65,-117.95
227,37.1004,-120.2786,37.15,-120.25
228,33.5008,-117.6587,33.55,-117.65
229,38.0991,-122.2104,38.05,-122.25
230,36.8317,-119.832,36.85,-119.85
231,34.1046,-117.5873,34.15,-117.55
232,36.8291,-121.5285,36.85,-121.55
233,32.8231,-116.7386,32.85,-116.75
234,37.5272,-121.9679,37.55,-121.95
235,33.9342,-118.3325,33.95,-118.35
236,32.9,-117.2072,32.85,-117.25
237,33.9292,-118.009,33.95,-118.05
238,33.6283,-114.6191,33.65,-114.65
239,37.7765,-120.8476,37.75,-120.85
240,37.4063,-122.0084,37.45,-122.05
241,34.1095,-117.3762,34.15,-117.35
242,37.3744,-122.213,37.35,-122.25
243,38.0874,-120.5807,38.05,-120.55
244,36.6265,-119.6753,36.65,-119.65
245,34.0023,-118.0356,34.05,-118.05
246,33.795,-118.1182,33.75,-118.15
247,37.9743,-121.3147,37.95,-121.35
248,38.0632,-122.5411,38.05,-122.55
249,36.8656,-119.7592,36.85,-119.75
250,33.843,-116.5434,33.85,-116.55
251,33.9975,-118.1528,33.95,-118.15
252,34.0666,-116.5595,34.05,-116.55
253,33.7086,-117.9563,33.75,-117.95
254,38.7247,-120.7953,38.75,-120.75
255,38.5112,-122.457,38.55,-122.45
256,33.7594,-116.3232,33.75,-116.35
257,33.9038,-117.6022,33.95,-117.65
258,37.2576,-121.8907,37.25,-121.85
259,38.405,-122.7275,38.45,-122.75
260,32.9143,-117.1412,32.95,-117.15
261,35.1393,-117.9147,35.15,-117.95
262,32.7413,-117.0951,32.75,-117.05
263,37.6897,-121.8924,37.65,-121.85
264,33.1796,-117.2446,33.15,-117.25
265,37.1376,-121.6621,37.15,-121.65
266,40.5393,-122.3328,40.55,-122.35
267,37.7574,-121.9521,37.75,-121.95
268,33.2025,-117.3608,33.25,-117.35
269,35.0307,-117.6726,35.05,-117.65
270,37.9697,-122.2941,37.95,-122.25
271,37.6529,-122.4301,37.65,-122.45
272,33.0165,-117.2026,33.05,-117.25
273,37.284,-121.8266,37.25,-121.85
274,37.9587,-121.288,37.95,-121.25
275,34.016,-117.6874,34.05,-117.65
276,35.2625,-120.652,35.25,-120.65
277,34.175,-118.9396,34.15,-118.95
278,34.1377,-117.9657,34.15,-117.95
279,33.8683,-118.0675,33.85,-118.05
280,32.746,-117.1672,32.75,-117.15
281,32.7259,-117.2308,32.75,-117.25
282,39.415,-122.0249,39.45,-122.05
283,33.4953,-117.0766,33.45,-117.05
284,38.1326,-121.3228,38.15,-121.35
285,37.7768,-122.2179,37.75,-122.25
286,38.3933,-122.8367,38.35,-122.85
287,33.9345,-117.9516,33.95,-117.95
288,34.1033,-117.8181,34.15,-117.85
289,33.9146,-118.3509,33.95,-118.35
290,38.8573,-122.2149,38.85,-122.25
291,33.7841,-117.2981,33.75,-117.25
292,37.9321,-121.7038,37.95,-121.75
293,33.6876,-117.7885,33.65,-117.75
294,32.7211,-116.9961,32.75,-116.95
295,37.7928,-122.4219,37.75,-122.45
296,34.2929,-118.8713,34.25,-118.85
297,34.2171,-119.1769,34.25,-119.15
298,37.3077,-121.9998,37.35,-121.95
299,37.6216,-118.8628,37.65,-118.85
300,39.6243,-121.7915,39.65,-121.75
301,38.7481,-120.6746,38.75,-120.65
302,39.1093,-121.6803,39.15,-121.65
303,34.4065,-118.5621,34.45,-118.55
304,34.0977,-117.907,34.05,-117.95
305,32.7429,-117.1277,32.75,-117.15
306,37.9414,-122.3663,37.95,-122.35
307,34.4032,-119.7207,34.45,-119.75
308,33.64,-117.6035,33.65,-117.65
309,38.2433,-122.6069,38.25,-122.65
310,33.9202,-118.1429,33.95,-118.15
311,37.3863,-121.8899,37.35,-121.85
312,38.5692,-121.545,38.55,-121.55
313,37.9916,-121.8021,37.95,-121.85
314,39.6053,-122.0323,39.65,-122.05
315,38.7892,-121.2382,38.75,-121.25
316,38.5374,-121.9776,38.55,-121.95
317,34.1192,-117.8548,34.15,-117.85
318,34.0807,-117.2736,34.05,-117.25
319,39.4998,-122.2077,39.45,-122.25
320,38.344,-121.9533,38.35,-121.95
321,37.0079,-121.9507,37.05,-121.95
322,34.2188,-118.9921,34.25,-118.95
323,32.9736,-117.037,32.95,-117.05
324,37.3339,-121.8915,37.35,-121.85
325,34.073,-118.1462,34.05,-118.15
326,37.2705,-122.023,37.25,-122.05
327,33.7013,-116.3415,33.75,-116.35
328,39.721,-121.8189,39.75,-121.85
329,37.3537,-122.0872,37.35,-122.05
330,37.3771,-122.1241,37.35,-122.15
331,34.1408,-118.0018,34.15,-118.05
332,37.2286,-121.984,37.25,-121.95
333,38.0982,-122.5981,38.05,-122.55
334,33.7417,-117.8213,33.75,-117.85
335,33.8473,-118.1134,33.85,-118.15
336,38.7688,-121.3363,38.75,-121.35
337,32.785,-117.0186,32.75,-117.05
338,37.8117,-121.9865,37.85,-121.95
339,32.6088,-117.0607,32.65,-117.05
340,37.6578,-121.7301,37.65,-121.75
341,33.8911,-117.2726,33.85,-117.25
342,33.9263,-117.4094,33.95,-117.45
343,34.0149,-118.4922,34.05,-118.45
344,37.4057,-119.5675,37.45,-119.55
345,33.8395,-117.5358,33.85,-117.55
346,37.0887,-121.6005,37.05,-121.65
347,34.1435,-118.8561,34.15,-118.85
348,35.8181,-120.6364,35.85,-120.65
349,33.0978,-117.2674,33.05,-117.25
350,37.8437,-122.2437,37.85,-122.25
351,33.7869,-117.9822,33.75,-117.95
352,34.5655,-118.0855,34.55,-118.05
353,32.7944,-117.0722,32.75,-117.05
354,37.8567,-122.0249,37.85,-122.05
355,34.5967,-117.8447,34.55,-117.85
356,33.8108,-118.351,33.85,-118.35
357,36.3121,-119.8035,36.35,-119.85
