Project ,Site Address,State,Zip Code
Turtle Bay Resort,"57-091 Kamehameha HWY
Kahuku",HI,96731
Valley Baptist Church,"4800 Fruitvale Ave
Bakersfield",CA,93308
Indy IIA,"4250 West Perimeter Road
Indianapolis",IN,46231
Cathedral Of Faith,"2315 Canoas Garden Avenue
San Jose",CA,95125
Hurlock WWTP,"6200 Jones Village Dr.
Hurlock",MD,21643
Turtle Bay Fazio,57-091 Kamehameha Highway Kahuku,HI,96731
PSLS,"Notchcliff Road
Glen Arm",MD,21057
Turtle Bay WWTP,"57-82 Kamehameha Hwy
Kahuku",HI,96731
"Houghton, College ","1 Willard Ave
Houghton",NY,14744
Corbin Russwin,"225 Episcopal Road
Berlin",CT,6037
"Lake Elsinore, HS ","21800 Canyon Drive
Wildomar",CA,92595
Orange Cove,"Hill Valley Rd & Ave 460
Orange Cove",CA,93646
Big Y,87 W Stafford RdStafford Springs,CT,6076
"La Paloma,Lake side","8410 E Golf Links Road
Tucson",AZ,85730
"La Paloma,Central","2050 North Wilmot Road
Tucson",AZ,85712
KIPP,"2600 Douglass Rd SE
Washington",DC,20020
